file,army,name,type,setup,factors
Rupert/eyre.svg,rupert,Eyre,cavalry,1420,4-2-8
Rupert/fresch.svg,rupert,Fresch,cavalry,1520,4-2-8
Rupert/trevor.svg,rupert,Trevor,cavalry,1907,5-2-8
Rupert/rupert_heavy_cavalry.svg,rupert,Rupert,cavalry,2207,6-3-8
Rupert/rlg.svg,rupert,RLG,cavalry,2308,4-3-8
Rupert/tuke.svg,rupert,Tuke,cavalry,2102,3-2-8
Rupert/molnx.svg,rupert,Molnx,cavalry,2203,3-2-8
Rupert/tidsly_heavy_cavalry.svg,rupert,Tidsly,cavalry,2204,3-2-8
Rupert/leveson.svg,rupert,Leveson,cavalry,2205,3-2-8
Rupert/vaughan.svg,rupert,Vaughan,cavalry,2004,4-2-8
Rupert/urry.svg,rupert,Urry,cavalry,2003,3-2-8
Rupert/byron_heavy_cavalry.svg,rupert,Byron,cavalry,2002,4-3-8
Rupert/tillier.svg,rupert,Tillier,infantry,1519,10-2-4
Rupert/chisnll.svg,rupert,Chisnll,infantry,1519,6-2-4
Rupert/milward.svg,rupert,Milward,infantry,1719,4-2-4
Rupert/chester.svg,rupert,Chester,infantry,1718,10-2-4
Rupert/vane.svg,rupert,Vane,infantry,1617,8-2-4
Rupert/brightn.svg,rupert,Brightn,infantry,1716,10-2-4
Rupert/tidsly.svg,rupert,Tidsly,infantry,1714,10-2-4
Rupert/moore.svg,rupert,Moore,infantry,1712,8-2-4
Rupert/napier_1.svg,rupert,1/Napier,infantry,1605,12-2-4
Rupert/napier_2.svg,rupert,2/Napier,infantry,1807,8-2-4
Rupert/artillery_1.svg,rupert,"",artillery,1617,""
Rupert/artillery_2.svg,rupert,"",artillery,1716,""
Manchester/artillery_1.svg,manchester,"",artillery,1308,""
turn.svg,manchester,Turn Now,turn,"",""
Manchester/manchester_leader.svg,manchester,Manchester,leader,0917,1-8
Manchester/manchester_infantry.svg,manchester,Manchester,infantry,0917,10-2-4
Manchester/manchester_heavy_cavalry.svg,manchester,Manchester,dragoon,1119,7-4-8
Manchester/fleetwd.svg,manchester,Fleetwd,cavalry,1204,7-4-8
Rupert/rupert_leader.svg,rupert,Rupert,leader,2309,3-8
Rupert/byron_leader.svg,rupert,Byron,leader,2002,1-8
Rupert/artillery_3.svg,rupert,"",artillery,1714,""
Rupert/artillery_4.svg,rupert,"",artillery,1712,""
Manchester/artillery_2.svg,manchester,"",artillery,1309,""
Manchester/norwich.svg,manchester,Norwich,cavalry,1306,4-4-8
Manchester/cromwell_leader.svg,manchester,Cromwell,leader,1307,3-8
